3723750	155,25960,25883,25079,11330,21565,20388,23342,15164,21887

8848250	23798,5848,24503,16463,5506,6876,647,26605,28824,27791

805750	24277,451,11029,8549,20015,7560,8689,25770,27791,16463

1724000	17846,451,12512,19021,4949,26523,15934,14048,28410,679

4054000	21899,587,10171,12285,22989,5185,26665,3534,24344,10710

2492500	18950,27,9396,16463,6904,8689,679,18353,6077,18832

11434750	18950,27,8220,9396,19021,6904,1918,18353,6077,679

1194750	4226,23549,5043,5832,25360,4750,6193,26699,27791,26618

2232500	7473,28824,12512,16460,20015,12285,7230,17846,5848,10702

11340250	6754,12512,23284,19021,14318,18024,25040,28603,23342,15164

10539250	23284,451,5799,20721,15935,27135,16420,28603,21887,18075

9973000	4949,17636,15423,6328,5094,8689,18024,20388,17372,12758

11590500	7473,26270,15164,27135,20015,12512,25040,8689,23284,164

7383000	7473,19015,11176,19,11029,16674,7105,25770,642,20015

1767500	8278,24944,16110,27135,4571,15315,18024,18075,26394,14318

6523250	29099,26288,554,155,27487,25040,26523,23013,27791,11679

9352750	24929,26563,4750,15828,500,1505,25372,679,13799,4728

11496750	11304,6767,18024,16463,4949,5799,25079,27791,16110,21887

4804500	19416,9620,10584,23628,22359,16460,23433,7105,23284,22365

11632250	13799,26288,20846,25883,25079,12132,4728,27791,18075,8533

11564250	4807,451,12512,155,16460,5429,1195,23342,11524,5833

3293750	26288,15315,24944,155,20207,7473,8689,20015,20661,23628

2364500	19416,15935,4949,28410,18832,155,15799,12758,16918,679

6900500	20595,8533,12165,6193,6255,20388,25372,25360,11790,27791

11646500	2099,19217,8628,2198,11330,11857,21485,23342,16110,25960

11972750	17641,7868,6904,155,19,16674,26679,6077,14318,13971

4921000	23798,23662,451,5799,8533,647,28641,26618,4750,679

7927750	22547,19949,21334,26763,20300,7561,28603,23342,26618,29551

528250	26288,6767,5330,4220,11679,599,20349,28603,17636,10948

5812000	21995,13682,28378,19021,155,647,10726,7105,27791,25883

835000	451,21092,16463,22547,8689,25040,28653,27791,21840,8278

2050000	4226,6104,16463,201,25360,21565,15934,22547,21334,5832

11142000	8943,17846,12754,4949,7473,8689,20015,12758,164,679

9420500	23342,12977,13799,155,11330,12271,4728,27791,18075,25883

7898750	12329,5799,22034,21334,15934,25570,12758,27791,28410,18024

9044750	5848,28824,14073,21840,19021,8313,18575,2762,20300,16110

746000	29099,12828,4819,16463,22313,19421,17794,23342,25022,6951

11300000	29099,5848,9111,28824,20015,7473,7868,25402,18353,679

6564500	8943,5848,28824,12512,26288,19021,7473,5094,12329,20015

3257000	23798,7473,12512,5791,155,20015,21121,28752,12758,16110

154750	12754,11687,23829,25099,16663,14248,20388,1918,23342,11679

11894500	9549,1918,11304,2570,12271,11150,2762,637,14318,23342

7483500	21092,27044,164,26270,14318,26679,25040,23342,15164,27791

5248750	7868,28824,20207,4960,4571,647,15584,27487,5848,679

5292000	7473,23662,18990,4887,20015,7868,29044,6767,18075,679

11283500	11196,21758,20228,949,21565,9834,16420,28603,25960,23342

4994000	12754,21865,27019,26679,6438,25040,26523,9563,15164,23342

848500	451,20207,12285,155,26523,679,16463,4571,27791,27487

11579750	6104,25360,3390,17455,4411,17060,25040,8489,28603,11679

3751500	7868,23013,451,18024,17647,22359,554,14679,4571,10584

11440500	17846,554,20207,155,22359,4571,12512,28824,10584,18832

6571750	9290,7473,9620,19021,20015,647,8689,20668,26523,679

8324500	3590,3324,21092,24944,2198,17846,12512,25372,25040,6951

3245250	23798,8446,22313,17657,4949,15510,21785,4338,17794,679

1247000	7473,17945,18697,155,4571,599,20015,20661,16110,679

11761750	26523,12285,15423,155,5094,4571,26699,12512,12977,20207

10566000	25402,16836,451,10726,22439,21565,6438,9563,9620,9972

5693000	12977,13799,19021,12285,12271,4728,12453,21887,18075,679

12231250	11687,7868,11176,15584,420,19021,7473,20015,16110,11330

3114000	11687,22547,13592,17968,4571,15858,26523,21121,16110,679

11225500	8943,11196,12512,25079,12285,17748,12271,9834,15164,11857

3675000	1131,6918,23628,15934,28181,4281,5429,5791,27791,21121

2187500	29099,14482,5330,5336,12165,6255,27135,599,26394,20349

6904000	4807,20207,18832,15784,26523,15799,25040,18353,16918,679

7375000	25040,25960,15164,14318,21565,12271,20388,27791,23284,23342

10047250	20996,20846,26270,25079,420,554,20037,17846,5848,29225

1240250	20180,6299,451,18075,16110,19015,19217,11687,642,25909

3903500	5848,28824,4960,7868,7473,554,27487,20015,14048,679

8997500	7868,10893,6741,23628,20721,8628,15584,3228,14318,22113

4102750	26288,18024,10014,25079,15799,8689,15858,23628,1010,17968

11494250	12754,451,4949,21565,12758,3228,28603,27791,23284,11679

2088000	26288,20207,25883,155,26523,25040,11330,28603,23342,11022

12386500	6918,10584,16396,201,5791,599,11679,21121,476,13787

10592000	12512,26618,22359,12285,7561,1731,26699,12758,10710,19949

4631250	22547,23662,16463,4949,647,26763,5429,25372,26618,29551

3014750	8943,23025,25079,21565,12271,4078,9834,25960,15164,23342

7830250	17748,27,9396,20721,18950,11330,11201,12977,27791,23342

7143250	7868,4281,24944,26523,15584,12512,3324,4807,18353,679

8622000	8278,155,15832,22989,23549,26665,12586,28603,23284,6571

4876750	4226,6104,451,4949,19021,25360,6193,12758,17846,5832

6015000	6104,7868,11150,5832,16460,25360,4226,6193,26523,21840

11782250	11225,22319,17642,1591,19015,8689,26404,642,1788,18689

10443000	5848,28824,12512,25366,20015,7473,15934,1731,5799,17846
